%
%
%

@RELATION UCI_Iris

@ATTRIBUTE A1	REAL
@ATTRIBUTE A2	REAL
@ATTRIBUTE A3	REAL
@ATTRIBUTE A4	REAL
@ATTRIBUTE class	{0,1,2}

@DATA
5.09999990463,3.5,1.39999997616,0.20000000298,0
4.90000009537,3.0,1.39999997616,0.20000000298,0
4.69999980927,3.20000004768,1.29999995232,0.20000000298,0
4.59999990463,3.09999990463,1.5,0.20000000298,0
5.0,3.59999990463,1.39999997616,0.20000000298,0
5.40000009537,3.90000009537,1.70000004768,0.40000000596,0
4.59999990463,3.40000009537,1.39999997616,0.300000011921,0
5.0,3.40000009537,1.5,0.20000000298,0
4.40000009537,2.90000009537,1.39999997616,0.20000000298,0
4.90000009537,3.09999990463,1.5,0.10000000149,0
5.40000009537,3.70000004768,1.5,0.20000000298,0
4.80000019073,3.40000009537,1.60000002384,0.20000000298,0
4.80000019073,3.0,1.39999997616,0.10000000149,0
4.30000019073,3.0,1.10000002384,0.10000000149,0
5.80000019073,4.0,1.20000004768,0.20000000298,0
5.69999980927,4.40000009537,1.5,0.40000000596,0
5.40000009537,3.90000009537,1.29999995232,0.40000000596,0
5.09999990463,3.5,1.39999997616,0.300000011921,0
5.69999980927,3.79999995232,1.70000004768,0.300000011921,0
5.09999990463,3.79999995232,1.5,0.300000011921,0
5.40000009537,3.40000009537,1.70000004768,0.20000000298,0
5.09999990463,3.70000004768,1.5,0.40000000596,0
4.59999990463,3.59999990463,1.0,0.20000000298,0
5.09999990463,3.29999995232,1.70000004768,0.5,0
4.80000019073,3.40000009537,1.89999997616,0.20000000298,0
5.0,3.0,1.60000002384,0.20000000298,0
5.0,3.40000009537,1.60000002384,0.40000000596,0
5.19999980927,3.5,1.5,0.20000000298,0
5.19999980927,3.40000009537,1.39999997616,0.20000000298,0
4.69999980927,3.20000004768,1.60000002384,0.20000000298,0
4.80000019073,3.09999990463,1.60000002384,0.20000000298,0
5.40000009537,3.40000009537,1.5,0.40000000596,0
